Mes del Gasto,COSTOS FIJOS / OTROS GASTOS,Comentario / Proveedor,LOCAL - ADM CENTRAL,Importe,Check %, %, MORENO,%,VIA VIEJA,%,COLEGIO,%,GG2,%,GG4, MONTO PAGO,FECHA PAGO,FORMA PAGO,Saldo a Pagar,Linea P&L
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
,,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,
